3352-87-2	Developmental Toxicity-fetal death mouse
546-06-5	Developmental Toxicity-fetal death mouse; Developmental Toxicity-pre impl. loss mouse
56-94-0	Developmental Toxicity-fetal death mouse; Developmental Toxicity-pre impl. loss mouse
86479-06-3	Developmental Toxicity-visceral mouse; Developmental Toxicity-fetal death mouse
77-67-8	Developmental Toxicity-visceral mouse; Developmental Toxicity-fetal death mouse; Developmental Toxicity-visceral rodent; Developmental Toxicity-structural rat
54188-38-4	Developmental Toxicity-fetal death mouse; Developmental Toxicity-weight dec. rodent; Developmental Toxicity-visceral rodent
3179-80-4	Developmental Toxicity-weight dec. mouse; Developmental Toxicity-fetal death mouse
1452-15-9	Developmental Toxicity-fetal death rat
83121-18-0	Developmental Toxicity-fetal death rat
189003-92-7	Developmental Toxicity-structural rodent; Developmental Toxicity-fetal death rabbit; Developmental Toxicity-visceral rat; Developmental Toxicity-weight dec. rodent; Developmental Toxicity-fetal death rat; Developmental Toxicity-fetal death rodent
72-44-6	Developmental Toxicity-visceral mouse; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-pre impl. loss rodent; Developmental Toxicity-weight dec. rat; Developmental Toxicity-weight dec. rodent; Developmental Toxicity-visceral rodent; Developmental Toxicity-fetal death rat
68786-66-3	Developmental Toxicity-visceral mouse; Developmental Toxicity-weight dec. rat; Developmental Toxicity-fetal death rat
171058-17-6	Developmental Toxicity-fetal death mouse; Developmental Toxicity-fetal death rodent
178631-05-5	Developmental Toxicity-fetal death mouse; Developmental Toxicity-fetal death rodent
244193-50-8	Developmental Toxicity-fetal death mouse; Developmental Toxicity-fetal death rodent
244193-52-0	Developmental Toxicity-fetal death mouse; Developmental Toxicity-fetal death rodent
304680-35-1	Developmental Toxicity-fetal death mouse; Developmental Toxicity-fetal death rodent
304680-36-2	Developmental Toxicity-fetal death mouse; Developmental Toxicity-fetal death rodent
64697-40-1	Developmental Toxicity-fetal death mouse; Developmental Toxicity-fetal death rodent
85100-78-3	Developmental Toxicity-fetal death mouse; Developmental Toxicity-fetal death rodent
114569-84-5	Developmental Toxicity-visceral mouse; Developmental Toxicity-fetal death mouse; Developmental Toxicity-visceral rodent; Developmental Toxicity-fetal death rodent
171058-18-7	Developmental Toxicity-visceral mouse; Developmental Toxicity-fetal death mouse; Developmental Toxicity-visceral rodent; Developmental Toxicity-fetal death rodent
171058-21-2	Developmental Toxicity-visceral mouse; Developmental Toxicity-fetal death mouse; Developmental Toxicity-visceral rodent; Developmental Toxicity-fetal death rodent
188589-32-4	Developmental Toxicity-visceral mouse; Developmental Toxicity-fetal death mouse; Developmental Toxicity-visceral rodent; Developmental Toxicity-fetal death rodent
219947-93-0	Developmental Toxicity-visceral mouse; Developmental Toxicity-fetal death mouse; Developmental Toxicity-visceral rodent; Developmental Toxicity-fetal death rodent
219947-94-1	Developmental Toxicity-visceral mouse; Developmental Toxicity-fetal death mouse; Developmental Toxicity-visceral rodent; Developmental Toxicity-fetal death rodent
244193-56-4	Developmental Toxicity-visceral mouse; Developmental Toxicity-fetal death mouse; Developmental Toxicity-visceral rodent; Developmental Toxicity-fetal death rodent
244193-59-7	Developmental Toxicity-visceral mouse; Developmental Toxicity-fetal death mouse; Developmental Toxicity-visceral rodent; Developmental Toxicity-fetal death rodent
362043-46-7	Developmental Toxicity-visceral mouse; Developmental Toxicity-fetal death mouse; Developmental Toxicity-visceral rodent; Developmental Toxicity-fetal death rodent
81995-09-7	Developmental Toxicity-visceral mouse; Developmental Toxicity-fetal death mouse; Developmental Toxicity-visceral rodent; Developmental Toxicity-fetal death rodent
219947-95-2	Developmental Toxicity-visceral mouse; Developmental Toxicity-fetal death mouse; Developmental Toxicity-structural mouse; Developmental Toxicity-visceral rodent; Developmental Toxicity-fetal death rodent
219947-96-3	Developmental Toxicity-visceral mouse; Developmental Toxicity-fetal death mouse; Developmental Toxicity-structural mouse; Developmental Toxicity-visceral rodent; Developmental Toxicity-fetal death rodent
244193-64-4	Developmental Toxicity-visceral mouse; Developmental Toxicity-fetal death mouse; Developmental Toxicity-structural mouse; Developmental Toxicity-visceral rodent; Developmental Toxicity-fetal death rodent
61546-01-8	Developmental Toxicity-visceral mouse; Developmental Toxicity-fetal death mouse; Developmental Toxicity-structural mouse; Developmental Toxicity-visceral rodent; Developmental Toxicity-fetal death rodent
138-14-7	Developmental Toxicity-structural rat; Developmental Toxicity-fetal death rodent
4449-51-8	Developmental Toxicity-visceral mouse; Developmental Toxicity-structural mouse; Developmental Toxicity-fetal death rodent
6192-62-7	Developmental Toxicity-visceral mouse; Developmental Toxicity-structural mouse; Developmental Toxicity-fetal death rodent
127625-29-0	Developmental Toxicity-visceral rodent; Developmental Toxicity-fetal death rodent
96829-58-2	Developmental Toxicity-post impl. loss mouse; Developmental Toxicity-retardation rabbit; Developmental Toxicity-fetal death mouse; Developmental Toxicity-pre impl. loss rabbit; Developmental Toxicity-structural mouse; Developmental Toxicity-visceral rodent; Developmental Toxicity-structural rabbit
57-47-6	Developmental Toxicity-post impl. loss mouse; Developmental Toxicity-visceral mouse; Developmental Toxicity-pre impl. loss rodent; Developmental Toxicity-fetal death mouse; Developmental Toxicity-structural rat
208992-74-9	Developmental Toxicity-post impl. loss mouse; Developmental Toxicity-visceral mouse; Developmental Toxicity-fetal death mouse
106685-40-9	Developmental Toxicity-post impl. loss rabbit
100678-32-8	Developmental Toxicity-retardation rabbit; Developmental Toxicity-post impl. loss rabbit; Developmental Toxicity-visceral rat; Developmental Toxicity-visceral rodent; Developmental Toxicity-fetal death rat
128312-51-6	Developmental Toxicity-retardation rat; Developmental Toxicity-retardation rabbit; Developmental Toxicity-post impl. loss rabbit; Developmental Toxicity-pre impl. loss rabbit
59719-67-4	Developmental Toxicity-post impl. loss rabbit; Developmental Toxicity-pre impl. loss rodent; Developmental Toxicity-pre impl. loss rabbit
134605-64-4	Developmental Toxicity-visceral mouse; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-post impl. loss rat; Developmental Toxicity-pre impl. loss rodent; Developmental Toxicity-fetal death mouse; Developmental Toxicity-structural mouse; Developmental Toxicity-pre impl. loss mouse; Developmental Toxicity-visceral rodent
86-29-3	Developmental Toxicity-post impl. loss rat; Developmental Toxicity-weight dec. rat; Developmental Toxicity-visceral rat; Developmental Toxicity-weight dec. rodent
75-05-8	Developmental Toxicity-post impl. loss rat; Developmental Toxicity-weight dec. rat
18640-74-9	Developmental Toxicity-fetal death rat; Developmental Toxicity-post impl. loss rodent
64359-81-5	Developmental Toxicity-post impl. loss rabbit; Developmental Toxicity-post impl. loss rodent
56741-95-8	Developmental Toxicity-retardation rat; Developmental Toxicity-fetal death rabbit; Developmental Toxicity-post impl. loss rabbit; Developmental Toxicity-weight dec. rodent; Developmental Toxicity-visceral rodent; Developmental Toxicity-post impl. loss rodent
137160-11-3	Developmental Toxicity-post impl. loss rat; Developmental Toxicity-fetal death rat; Developmental Toxicity-post impl. loss rodent
179465-71-5	Developmental Toxicity-retardation rat; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-post impl. loss rat; Developmental Toxicity-pre impl. loss rodent; Developmental Toxicity-fetal death rat; Developmental Toxicity-post impl. loss rodent; Developmental Toxicity-fetal death rodent
41340-25-4	Developmental Toxicity-post impl. loss rat; Developmental Toxicity-structural mouse; Developmental Toxicity-fetal death rat; Developmental Toxicity-structural rat; Developmental Toxicity-post impl. loss rodent
479500-35-1	Developmental Toxicity-pre impl. loss mouse
117947-85-0	Developmental Toxicity-pre impl. loss mouse
121057-90-7	Developmental Toxicity-pre impl. loss mouse
327022-58-2	Developmental Toxicity-pre impl. loss mouse
330671-29-9	Developmental Toxicity-pre impl. loss mouse
345984-11-4	Developmental Toxicity-pre impl. loss mouse
4186-68-9	Developmental Toxicity-pre impl. loss mouse
528818-82-8	Developmental Toxicity-pre impl. loss mouse
56511-17-2	Developmental Toxicity-pre impl. loss mouse
56511-19-4	Developmental Toxicity-pre impl. loss mouse
608140-09-6	Developmental Toxicity-pre impl. loss mouse
69227-51-6	Developmental Toxicity-pre impl. loss mouse
93457-69-3	Developmental Toxicity-pre impl. loss mouse
87440-45-7	Developmental Toxicity-pre impl. loss rabbit
132-35-4	Developmental Toxicity-retardation rat; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-weight dec. rat; Developmental Toxicity-pre impl. loss rabbit; Developmental Toxicity-weight dec. rodent
2921-88-2	Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-pre impl. loss rodent; Developmental Toxicity-weight dec. rodent
5598-13-0	Developmental Toxicity-retardation rabbit; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-pre impl. loss rodent; Developmental Toxicity-weight dec. rodent
6515-38-4	Developmental Toxicity-retardation rabbit; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-pre impl. loss rodent; Developmental Toxicity-weight dec. rodent
54533-86-7	Developmental Toxicity-retardation rat; Developmental Toxicity-pre impl. loss rat
52756-22-6	Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-visceral rat; Developmental Toxicity-visceral rodent
196597-26-9	Developmental Toxicity-weight dec. mouse; Developmental Toxicity-pre impl. loss rodent
68291-97-4	Developmental Toxicity-pre impl. loss rodent; Developmental Toxicity-weight dec. rodent
24600-36-0	Developmental Toxicity-retardation rat
1068967-96-3	Developmental Toxicity-structural rodent; Developmental Toxicity-structural rat
59721-29-8	Developmental Toxicity-weight dec. rat; Developmental Toxicity-structural rat
31224-92-7	Developmental Toxicity-structural rodent; Developmental Toxicity-weight dec. mouse
1084-65-7	Developmental Toxicity-visceral rat
22457-89-2	Developmental Toxicity-visceral rodent
638-65-3	Developmental Toxicity-visceral rodent
58-85-5	Developmental Toxicity-structural mouse; Developmental Toxicity-visceral rodent
77-41-8	Developmental Toxicity-structural rodent; Developmental Toxicity-visceral mouse; Developmental Toxicity-structural mouse; Developmental Toxicity-visceral rodent; Developmental Toxicity-structural rat
101152-94-7	Developmental Toxicity-visceral rat; Developmental Toxicity-visceral rodent
97886-45-8	Developmental Toxicity-retardation rat; Developmental Toxicity-weight dec. rat; Developmental Toxicity-visceral rodent
616-96-6	Developmental Toxicity-weight dec. rodent; Developmental Toxicity-visceral rodent
1221-56-3	Developmental Toxicity-weight dec. mouse
1949-20-8	Developmental Toxicity-weight dec. rodent
17824-83-8	Developmental Toxicity-retardation rabbit; Developmental Toxicity-weight dec. rodent
2176-62-7	Developmental Toxicity-retardation rabbit; Developmental Toxicity-weight dec. rodent
2402-79-1	Developmental Toxicity-retardation rabbit; Developmental Toxicity-weight dec. rodent
5598-15-2	Developmental Toxicity-retardation rabbit; Developmental Toxicity-weight dec. rodent
23255-99-4	Developmental Toxicity-weight dec. rat; Developmental Toxicity-weight dec. rodent
10040-45-6	Developmental Toxicity-retardation rat; Developmental Toxicity-weight dec. rat; Developmental Toxicity-weight dec. rodent
