annoTermID	annoClassID	annoTerm
1	1	Adenosine receptor antagonist, xanthine
2	1	Adrenergic agonist
3	1	Adrenergic antagonist
4	1	Alcohol dehydrogenase inhibitor
5	1	Aldehyde dehydrogenase inhibitor
6	1	Androgen antagonist
7	1	Androgen receptor agonist
8	1	Anti-diabetic
9	1	Anti-inflammatory
10	1	Anti-viral
11	1	Antibiotic
12	1	Antibiotic, bacterial cell wall inhibitor
13	1	Antibiotic, ribosomal inhibitor
14	1	Antibiotic, sulfonamide
15	1	Antifungals azole
16	1	Bradykinin antagonist
17	1	Ca++ channel (L-Type) blocker
18	1	Ca++ channel (T-Type) blocker
19	1	Ca++ channel blocker, antiparasitics
20	1	Chelator, iron
21	1	Cholecystokinin (CCK) receptor antagonist, non-selective
22	1	Cholesterol biosynthesis inhibitor
23	1	Cholinesterase inhibitor
24	1	DNA damager
25	1	DNA gyrase inhibitor
26	1	Diuretic
27	1	Dopamine agonist
28	1	Dopamine antagonist
29	1	Equilibrative nucleoside transporter 1 inhibitor
30	1	Ergot alkaloid
31	1	Estrogen agonist
32	1	Estrogen antagonist
33	1	FXR agonist
34	1	GABA agonist
35	1	GR-MR agonist
36	1	Glucocorticoid receptor antagonist
37	1	Glutamate antagonist
38	1	Glutamate receptor agonist, glycine receptor agonist
39	1	Glycine receptor antagonist
40	1	Guanylate cyclase inhibitor
41	1	H+/K+-ATPase inhibitor
42	1	H2O2 radical scavenger
43	1	Histamine antagonist
44	1	Histamine receptor agonist
45	1	Increase gastric mucosal glycoprotein synthesis, molecular target unknown
46	1	Inhibit calcineurin as a drug-immunophilin complex
47	1	Interferes with protein prenylation
48	1	K+ (inward), & KATP (SUR2) channel blocker, adrenoceptor antagonist, monoamine transporter inhibitor
49	1	K+ channel opener
50	1	Melatonin receptor agonist
51	1	Mitochondrial toxicant
52	1	Monoamine re-uptake/oxidase inhibitor
53	1	Muscarinic acetylcholine receptor agonist
54	1	Muscarinic acetylcholine receptor antagonist
55	1	Na+ channel blocker
56	1	Na+/K+-ATPase inhibitor
57	1	Nicotinic acetylcholine receptor agonist
58	1	Nicotinic acetylcoline receptor antagonist
59	1	Non-DNA reactive antiproliferative agent
60	1	Nucleotide receptor P2Y12 antagonist
61	1	Opioid receptor (mu) agonist
62	1	Opioid receptor antagonist
63	1	Organic anion transporter inhibitor
64	1	Peroxidase inhibitor
65	1	Peroxisome proliferator
66	1	Phosphodiesterase inhibitor
67	1	Plasmin inhibitor
68	1	Pro-inflammatory stimuli
69	1	Progesterone receptor agonist
70	1	Progesterone receptor antagonist
71	1	RAAS inhibitor
72	1	Reduce glutamate release
73	1	Retinoic acid receptor (RAR) agonist
74	1	Serotonin agonist
75	1	Serotonin antagonist
76	1	Sigma receptor modulator
77	1	Thyroperoxidase inhibitor
78	1	Toxicant
79	1	Toxicant, DNA damaging
80	1	Unknown mechanism
81	1	Vanilloid receptor agonist
82	1	Vasodilator
83	1	Vitamin D receptor agonist
84	1	Vitamin-K-epoxide reductase inhibitor
85	2	BBM_1_Anemia
86	2	BBM_1_Asymptomatic Lymphocytopenia
87	2	BBM_1_Bleeding
88	2	BBM_1_Bone Marrow Depression
89	2	BBM_1_Bone Marrow Hypoplasia
90	2	BBM_1_Bone Marrow Suppression
91	2	BBM_1_Bone Marrow Toxicity
92	2	BBM_1_Granulocytopenia
93	2	BBM_1_Hematotoxicity
94	2	BBM_1_Hemolytic Anemia
95	2	BBM_1_Hemorrhage
96	2	BBM_1_Inhibits Platelet Aggregation
97	2	BBM_1_Leukocytosis
98	2	BBM_1_Leukopenia
99	2	BBM_1_Myelosuppression
100	2	BBM_1_Myelotoxicity
101	2	BBM_1_Neutropenia
102	2	BBM_1_Pancytopenia
103	2	BBM_1_Red Blood Cell Damage
104	2	BBM_1_Reticulocytosis
105	2	BBM_1_Reversible Neutropenia
106	2	BBM_1_Thrombocytopenia
107	2	BBM_1_Thrombocytosis
108	2	BBM_2_Agranulocytosis
109	2	BBM_2_Anemia
110	2	BBM_2_Aplastic Anemia
111	2	BBM_2_Bleeding
112	2	BBM_2_Bleeding Tendency
113	2	BBM_2_Bone Marrow Depression
114	2	BBM_2_Bone Marrow Hypoplasia
115	2	BBM_2_Bone Marrow Suppression
116	2	BBM_2_Bone Marrow Toxicity
117	2	BBM_2_Coagulopathy
118	2	BBM_2_Decreased Platelet Function
119	2	BBM_2_Disseminated Intravascular Coagulation (DIC)
120	2	BBM_2_Ecchymosis
121	2	BBM_2_Granulocytopenia
122	2	BBM_2_Granulocytosis
123	2	BBM_2_Hematological Reactions
124	2	BBM_2_Hematotoxicity
125	2	BBM_2_Hemodilution
126	2	BBM_2_Hemolysis
127	2	BBM_2_Hemolytic Anemia
128	2	BBM_2_Hemorrhage
129	2	BBM_2_Hypoprothrombinemia
130	2	BBM_2_Increased Bleeding
131	2	BBM_2_Inhibits Platelet Aggregation
132	2	BBM_2_Intravascular Hemolysis
133	2	BBM_2_Leukopenia
134	2	BBM_2_Megaloblastic Anemia
135	2	BBM_2_Methemoglobinemia
136	2	BBM_2_Myelosuppression
137	2	BBM_2_Myelotoxicity
138	2	BBM_2_Neutropenia
139	2	BBM_2_Pancytopenia
140	2	BBM_2_Petechiae
141	2	BBM_2_Polycythemia
142	2	BBM_2_Purpura
143	2	BBM_2_Red Blood Cell Damage
144	2	BBM_2_Thrombocytopenia
145	2	BBM_2_Thrombocytopenic Purpura
146	2	BBM_2_Thrombocytosis
147	2	BBM_3_Acute Leukemia
148	2	BBM_3_Agranulocytosis
149	2	BBM_3_Anemia
150	2	BBM_3_Aplastic Anemia
151	2	BBM_3_Bleeding
152	2	BBM_3_Bleeding Tendency
153	2	BBM_3_Blood Dyscrasias
154	2	BBM_3_Bone Marrow Aplasia
155	2	BBM_3_Bone Marrow Depression
156	2	BBM_3_Bone Marrow Hypoplasia
157	2	BBM_3_Bone Marrow Suppression
158	2	BBM_3_Bone Marrow Toxicity
159	2	BBM_3_Carboxyhemoglobinemia
160	2	BBM_3_Coagulopathy
161	2	BBM_3_Decreased Platelet Function
162	2	BBM_3_Decreased Red Blood Cells
