87333-19-5	Bicyclo Compounds, Heterocyclic
26921-17-5	Amino Alcohols
47879-92-5	Glycosides
51012-32-9	Benzamides
10262-69-8	Anthracenes
78110-38-0	Lactams
37517-28-5	Aminoglycosides
76824-35-6	Thiazoles
14216-34-3	Acids, Carbocyclic
50-06-6	Pyrimidines
93957-54-1	Naphthalenes
14976-57-9	Pyrrolidines
8055-10-5	Benzofurans
89565-68-4	Pyridines
110204-46-1	Imidazoles
55-18-5	Nitrosamines
127-07-1	Hydroxyurea
59865-13-3	Peptides, Cyclic
123958-79-2	Indenes
101-77-9	Anilides
102625-70-7	Benzimidazoles
49745-95-1	Catecholamines
143201-11-0	Naphthalenes
107007-99-8	Pyrazoles
1492-18-8	Vitamin B Complex
321-64-2	Acridines
98-96-4	Pyrazines
1404-31-5	Peptides, Cyclic
51-52-5	Pyrimidines
33089-61-1	Aniline Compounds
82410-32-0	Purines
81-81-2	Benzopyrans
142678-34-0	Benzimidazoles
57308-51-7	Catecholamines
58409-59-9	Phenelzine
50-52-2	Phenothiazines
80214-83-1	Glycosides
15468-34-5	Triazines
3426-54-8	Benzofurans
34156-56-4	Phosphonic Acids
59-92-7	Catecholamines
90438-83-8	Naphthalenes
41372-08-1	Catecholamines
37091-65-9	Lactams
15307-79-6	Acids, Carbocyclic
3810-74-0	Aminoglycoside
93957-55-2	Naphthalenes
154-93-8	Nitrosourea Compounds
88873-75-0	Pyrazoles
121-19-7	Arsenicals
525-66-6	Amino Alcohols
122111-03-9	Deoxyribonucleosides
85441-61-8	Isoquinolones
111974-72-2	Dibenzothiazepines
53-19-0	Hydrocarbons, Halogenated
84449-90-1	Hydrocarbons, Cyclic
66104-23-2	Ergot Alkaloids
61-72-3	Lactams
53902-12-8	Anthranilic Acids
1154-59-2	Anilides
22232-80-0	Terpenes
58-18-4	Androstanes
93479-97-1	Sulfones
74011-58-8	Quinolines
71963-77-4	Terpenes
145599-86-6	Naphthalenes
61869-08-7	Piperidines
8072-21-7	Dichlorvos
60-56-0	Imidazoles
434-07-1	Androstanes
28981-97-7	Benzazepines
3778-73-2	Oxazines
57-62-5	Naphthalenes
114798-26-4	Imidazoles
75736-33-3	Hydrocarbons, Cyclic
