CASRNUID	CASRN	TestSubstance_ChemName	Molecular_Formular	IUPAC_Name	InChI	InChIKey	SMILES
1	100-00-5	1-Chloro-4-nitrobenzene	C6H4ClNO2	1-chloro-4-nitrobenzene	InChI=1S/C6H4ClNO2/c7-5-1-3-6(4-2-5)8(9)10/h1-4H	CZGCEKJOLUNIFY-UHFFFAOYSA-N	[O-][N+](=O)C1=CC=C(Cl)C=C1
2	100-01-6	4-Nitroaniline	C6H6N2O2	4-nitroaniline	InChI=1S/C6H6N2O2/c7-5-1-3-6(4-2-5)8(9)10/h1-4H,7H2	TYMLOMAKGOJONV-UHFFFAOYSA-N	NC1=CC=C(C=C1)[N+]([O-])=O
3	100-02-7	4-Nitrophenol	C6H5NO3	4-nitrophenol	InChI=1S/C6H5NO3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H	BTJIUGUIPKRLHP-UHFFFAOYSA-N	OC1=CC=C(C=C1)[N+]([O-])=O
4	100-06-1	4'-Methoxyacetophenone	C9H10O2	1-(4-methoxyphenyl)ethanone	InChI=1S/C9H10O2/c1-7(10)8-3-5-9(11-2)6-4-8/h3-6H,1-2H3	NTPLXRHDUXRPNE-UHFFFAOYSA-N	COC1=CC=C(C=C1)C(C)=O
5	100-10-7	4-Dimethylaminobenzaldehyde	C9H11NO	4-(dimethylamino)benzaldehyde	InChI=1S/C9H11NO/c1-10(2)9-5-3-8(7-11)4-6-9/h3-7H,1-2H3	BGNGWHSBYQYVRX-UHFFFAOYSA-N	CN(C)C1=CC=C(C=O)C=C1
6	100-11-8	4-Nitrobenzylbromide	C7H6BrNO2	1-(bromomethyl)-4-nitrobenzene	InChI=1S/C7H6BrNO2/c8-5-6-1-3-7(4-2-6)9(10)11/h1-4H,5H2	VOLRSQPSJGXRNJ-UHFFFAOYSA-N	[O-][N+](=O)C1=CC=C(CBr)C=C1
7	100-14-1	4-Nitrobenzyl chloride	C7H6ClNO2	1-(chloromethyl)-4-nitrobenzene	InChI=1S/C7H6ClNO2/c8-5-6-1-3-7(4-2-6)9(10)11/h1-4H,5H2	KGCNHWXDPDPSBV-UHFFFAOYSA-N	[O-][N+](=O)C1=CC=C(CCl)C=C1
8	100-15-2	N-Methyl-4-nitroaniline	C7H8N2O2	N-methyl-4-nitroaniline	InChI=1S/C7H8N2O2/c1-8-6-2-4-7(5-3-6)9(10)11/h2-5,8H,1H3	XIFJZJPMHNUGRA-UHFFFAOYSA-N	CNC1=CC=C(C=C1)[N+]([O-])=O
9	100-18-5	1,4-Diisopropylbenzene	C12H18	1,4-di(propan-2-yl)benzene	InChI=1S/C12H18/c1-9(2)11-5-7-12(8-6-11)10(3)4/h5-10H,1-4H3	SPPWGCYEYAMHDT-UHFFFAOYSA-N	CC(C)C1=CC=C(C=C1)C(C)C
10	100-19-6	4-Nitroacetophenone	C8H7NO3	1-(4-nitrophenyl)ethanone	InChI=1S/C8H7NO3/c1-6(10)7-2-4-8(5-3-7)9(11)12/h2-5H,1H3	YQYGPGKTNQNXMH-UHFFFAOYSA-N	CC(=O)C1=CC=C(C=C1)[N+]([O-])=O
11	100-20-9	1,4-Benzenedicarbonyl dichloride	C8H4Cl2O2	benzene-1,4-dicarbonyl chloride	InChI=1S/C8H4Cl2O2/c9-7(11)5-1-2-6(4-3-5)8(10)12/h1-4H	LXEJRKJRKIFVNY-UHFFFAOYSA-N	ClC(=O)C1=CC=C(C=C1)C(Cl)=O
12	100-21-0	Terephthalic acid	C8H6O4	terephthalic acid	InChI=1S/C8H6O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H,(H,9,10)(H,11,12)	KKEYFWRCBNTPAC-UHFFFAOYSA-N	OC(=O)C1=CC=C(C=C1)C(O)=O
13	100-22-1	N,N,N',N'-Tetramethyl-p-phenylenediamine	C10H16N2	1-N,1-N,4-N,4-N-tetramethylbenzene-1,4-diamine	InChI=1S/C10H16N2/c1-11(2)9-5-7-10(8-6-9)12(3)4/h5-8H,1-4H3	CJAOGUFAAWZWNI-UHFFFAOYSA-N	CN(C)C1=CC=C(C=C1)N(C)C
14	100-25-4	1,4-Dinitrobenzene	C6H4N2O4	1,4-dinitrobenzene	InChI=1S/C6H4N2O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H	FYFDQJRXFWGIBS-UHFFFAOYSA-N	[O-][N+](=O)C1=CC=C(C=C1)[N+]([O-])=O
15	100-27-6	2-(4-Nitrophenyl)ethanol	C8H9NO3	2-(4-nitrophenyl)ethanol	InChI=1S/C8H9NO3/c10-6-5-7-1-3-8(4-2-7)9(11)12/h1-4,10H,5-6H2	IKMXRUOZUUKSON-UHFFFAOYSA-N	OCCC1=CC=C(C=C1)[N+]([O-])=O
16	100-29-8	1-Ethoxy-4-nitrobenzene	C8H9NO3	1-ethoxy-4-nitrobenzene	InChI=1S/C8H9NO3/c1-2-12-8-5-3-7(4-6-8)9(10)11/h3-6H,2H2,1H3	NWPKEYHUZKMWKJ-UHFFFAOYSA-N	CCOC1=CC=C(C=C1)[N+]([O-])=O
17	100-36-7	2-Aminoethyldiethylamine	C6H16N2	N',N'-diethylethane-1,2-diamine	InChI=1S/C6H16N2/c1-3-8(4-2)6-5-7/h3-7H2,1-2H3	UDGSVBYJWHOHNN-UHFFFAOYSA-N	CCN(CC)CCN
18	100-37-8	N,N-Diethylethanolamine	C6H15NO	2-(diethylamino)ethanol	InChI=1S/C6H15NO/c1-3-7(4-2)5-6-8/h8H,3-6H2,1-2H3	BFSVOASYOCHEOV-UHFFFAOYSA-N	CCN(CC)CCO
19	100-39-0	alpha-Bromotoluene	C7H7Br	bromomethylbenzene	InChI=1S/C7H7Br/c8-6-7-4-2-1-3-5-7/h1-5H,6H2	AGEZXYOZHKGVCM-UHFFFAOYSA-N	BrCC1=CC=CC=C1
20	100-40-3	4-Vinylcyclohexene	C8H12	4-ethenylcyclohexene	InChI=1S/C8H12/c1-2-8-6-4-3-5-7-8/h2-4,8H,1,5-7H2	BBDKZWKEPDTENS-UHFFFAOYSA-N	C=CC1CCC=CC1
21	100-41-4	Ethylbenzene	C8H10	ethylbenzene	InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3	YNQLUTRBYVCPMQ-UHFFFAOYSA-N	CCC1=CC=CC=C1
22	100-42-5	Styrene	C8H8	styrene	InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2	PPBRXRYQALVLMV-UHFFFAOYSA-N	C=CC1=CC=CC=C1
23	100-43-6	4-Vinylpyridine	C7H7N	4-ethenylpyridine	InChI=1S/C7H7N/c1-2-7-3-5-8-6-4-7/h2-6H,1H2	KFDVPJUYSDEJTH-UHFFFAOYSA-N	C=CC1=CC=NC=C1
24	100-44-7	Benzyl chloride	C7H7Cl	chloromethylbenzene	InChI=1S/C7H7Cl/c8-6-7-4-2-1-3-5-7/h1-5H,6H2	KCXMKQUNVWSEMD-UHFFFAOYSA-N	ClCC1=CC=CC=C1
25	100-46-9	Benzylamine	C7H9N	phenylmethanamine	InChI=1S/C7H9N/c8-6-7-4-2-1-3-5-7/h1-5H,6,8H2	WGQKYBSKWIADBV-UHFFFAOYSA-N	NCC1=CC=CC=C1
26	100-47-0	Benzonitrile	C7H5N	benzonitrile	InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H	JFDZBHWFFUWGJE-UHFFFAOYSA-N	N#CC1=CC=CC=C1
27	100-48-1	4-Pyridinecarbonitrile	C6H4N2	pyridine-4-carbonitrile	InChI=1S/C6H4N2/c7-5-6-1-3-8-4-2-6/h1-4H	GPHQHTOMRSGBNZ-UHFFFAOYSA-N	N#CC1=CC=NC=C1
28	100-50-5	3-Cyclohexene-1-carboxaldehyde	C7H10O	cyclohex-3-ene-1-carbaldehyde	InChI=1S/C7H10O/c8-6-7-4-2-1-3-5-7/h1-2,6-7H,3-5H2	DCFDVJPDXYGCOK-UHFFFAOYSA-N	O=CC1CCC=CC1
29	100-51-6	Benzyl alcohol	C7H8O	phenylmethanol	InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2	WVDDGKGOMKODPV-UHFFFAOYSA-N	OCC1=CC=CC=C1
30	100-52-7	Benzaldehyde	C7H6O	benzaldehyde	InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H	HUMNYLRZRPPJDN-UHFFFAOYSA-N	O=CC1=CC=CC=C1
31	100-53-8	Benzenemethanethiol	C7H8S	phenylmethanethiol	InChI=1S/C7H8S/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2	UENWRTRMUIOCKN-UHFFFAOYSA-N	SCC1=CC=CC=C1
32	100-54-9	3-Pyridinecarbonitrile	C6H4N2	pyridine-3-carbonitrile	InChI=1S/C6H4N2/c7-4-6-2-1-3-8-5-6/h1-3,5H	GZPHSAQLYPIAIN-UHFFFAOYSA-N	N#CC1=CN=CC=C1
33	100-55-0	Nicotinyl alcohol	C6H7NO	pyridin-3-ylmethanol	InChI=1S/C6H7NO/c8-5-6-2-1-3-7-4-6/h1-4,8H,5H2	MVQVNTPHUGQQHK-UHFFFAOYSA-N	OCC1=CC=CN=C1
34	100-56-1	Mercury, chlorophenyl-	C6H5ClHg	chloro(phenyl)mercury	InChI=1S/C6H5.ClH.Hg/c1-2-4-6-5-3-1;;/h1-5H;1H;/q;;+1/p-1	AWGTVRDHKJQFAX-UHFFFAOYSA-M	Cl[Hg]C1=CC=CC=C1
35	100-61-8	N-Methylaniline	C7H9N	N-methylaniline	InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-6,8H,1H3	AFBPFSWMIHJQDM-UHFFFAOYSA-N	CNC1=CC=CC=C1
36	100-63-0	Phenylhydrazine	C6H8N2	phenylhydrazine	InChI=1S/C6H8N2/c7-8-6-4-2-1-3-5-6/h1-5,8H,7H2	HKOOXMFOFWEVGF-UHFFFAOYSA-N	NNC1=CC=CC=C1
37	100-64-1	Cyclohexanone oxime	C6H11NO	N-cyclohexylidenehydroxylamine	InChI=1S/C6H11NO/c8-7-6-4-2-1-3-5-6/h8H,1-5H2	VEZUQRBDRNJBJY-UHFFFAOYSA-N	ON=C1CCCCC1
38	100-65-2	N-Phenylhydroxylamine	C6H7NO	N-phenylhydroxylamine	InChI=1S/C6H7NO/c8-7-6-4-2-1-3-5-6/h1-5,7-8H	CKRZKMFTZCFYGB-UHFFFAOYSA-N	ONC1=CC=CC=C1
39	100-69-6	2-Vinylpyridine	C7H7N	2-ethenylpyridine	InChI=1S/C7H7N/c1-2-7-5-3-4-6-8-7/h2-6H,1H2	KGIGUEBEKRSTEW-UHFFFAOYSA-N	C=CC1=CC=CC=N1
40	100-70-9	2-Pyridinecarbonitrile	C6H4N2	pyridine-2-carbonitrile	InChI=1S/C6H4N2/c7-5-6-3-1-2-4-8-6/h1-4H	FFNVQNRYTPFDDP-UHFFFAOYSA-N	N#CC1=NC=CC=C1
41	100-74-3	N-Ethylmorpholine	C6H13NO	4-ethylmorpholine	InChI=1S/C6H13NO/c1-2-7-3-5-8-6-4-7/h2-6H2,1H3	HVCNXQOWACZAFN-UHFFFAOYSA-N	CCN1CCOCC1
42	100-75-4	N-Nitrosopiperidine	C5H10N2O	1-nitrosopiperidine	InChI=1S/C5H10N2O/c8-6-7-4-2-1-3-5-7/h1-5H2	UWSDONTXWQOZFN-UHFFFAOYSA-N	O=NN1CCCCC1
43	100-76-5	Quinuclidine	C7H13N	1-azabicyclo[2.2.2]octane	InChI=1S/C7H13N/c1-4-8-5-2-7(1)3-6-8/h7H,1-6H2	SBYHFKPVCBCYGV-UHFFFAOYSA-N	C1CN2CCC1CC2
44	100-80-1	3-Methylstyrene	C9H10	1-ethenyl-3-methylbenzene	InChI=1S/C9H10/c1-3-9-6-4-5-8(2)7-9/h3-7H,1H2,2H3	JZHGRUMIRATHIU-UHFFFAOYSA-N	CC1=CC(C=C)=CC=C1
45	100-85-6	Benzyltrimethylammonium hydroxide	C10H17NO	benzyl(trimethyl)azanium;hydroxide	InChI=1S/C10H16N.H2O/c1-11(2,3)9-10-7-5-4-6-8-10;/h4-8H,9H2,1-3H3;1H2/q+1;/p-1	NDKBVBUGCNGSJJ-UHFFFAOYSA-M	[OH-].C[N+](C)(C)CC1=CC=CC=C1
46	100-86-7	2-Methyl-1-phenylpropan-2-ol	C10H14O	2-methyl-1-phenylpropan-2-ol	InChI=1S/C10H14O/c1-10(2,11)8-9-6-4-3-5-7-9/h3-7,11H,8H2,1-2H3	RIWRBSMFKVOJMN-UHFFFAOYSA-N	CC(C)(O)CC1=CC=CC=C1
47	100-88-9	Cyclamic acid	C6H13NO3S	cyclohexylsulfamic acid	InChI=1S/C6H13NO3S/c8-11(9,10)7-6-4-2-1-3-5-6/h6-7H,1-5H2,(H,8,9,10)	HCAJEUSONLESMK-UHFFFAOYSA-N	OS(=O)(=O)NC1CCCCC1
