1000287-05-7	DB15623	HIV-1 protease
1001080-50-7	DB12118	ACVR2A
1001100-69-1	DB05212	NFKB1; NFKB2
10023-48-0	DB03416	thiE
1002331-21-6	DB06094	HSPB1
10030-90-7	DB14489	TFRC; EGLN1; HDAC8; AHSP; HBA1; FXN; FTH1; FEN1; NEIL1; NEIL2; POLB; CP; TF
100568-02-3	DB08544	snf
1006685-44-4	DB06124	CAPN3
1006877-41-3	DB12773	IFNA2
1009119-64-5	DB09102	NS5A
101-20-2	DB11155	fabI
10102-43-9	DB00435	GUCY1A2; MT1A; IDO1
10103-46-5	DB11348	CASR; CALR; CIB1; PDCD6; SRI; CHP1; SPARC; CANX; FBN2; S100B; CASQ2; RGN; PEF1; S100A6; TPT1; CIB2; S100A13; CASQ1; NUCB1; NUCB2; CALM1; FBN3; GCA; CADPS; CALM2; CALM3; S100A16; CALB2; CAPS; CADPS2; CALR3; NRXN1; NCS1
1010396-29-8	DB07419	AR
10116-22-0	DB13857	PGR
10139-18-1	DB02835	pgmB; PGM1
101477-55-8	DB14065	ABCB1
101485-50-1	DB04529	gtfD; gtfA
1018448-65-1	DB05773	ERBB2
1019-45-0	DB14010	HTR1A; HTR2A
1020748-57-5	DB12688	CD22; EEF2
1024603-93-7	DB06043	PDGFRA
1025216-57-2	DB13914	SLC10A2
1025504-45-3	DB11915	VMAT2
1025795-11-2	DB06962	TPSB2
1027785-90-5	DB13925	SSTR2
102786-61-8	DB00036	F10; HPN; TFPI; GGCX; F7; F3
1029044-16-3	DB12978	CSF1R; KIT; FLT3; PDGFRB
103188-48-3	DB08754	def
1032-65-1	DB03798	42; thyA
1033805-22-9	DB12095	TPH2; TPH1
1036734-93-6	DB06343	IGF1R
104121-92-8	DB05295	VDR
104145-95-1	DB01066	penA; pbpA
1044511-01-4	DB12023	IL5RA; FCGR3A
104713-75-9	DB09227	CACNA1C
104746-04-5	DB14575	P2RX4
1048016-09-6	DB08888	FN1; A2M; SERPINF2
104993-28-4	DB00569	SERPINC1; F10
1053-73-2	DB01812	HS3ST1; SULT2B1; RNASE2; SULT1A1; HS3ST3A1; RNASE1; SULT2A1; SULT1E1; NDST1; acpS; SULT1B1; topA
10532-14-6	DB02047	PTGS1
105743-53-1	DB04063	ilvE
105827-78-9	DB11421	CHRFAM7A
105857-23-6	DB00009	PLG; FGA; PLAUR; SERPINE1
1059105-22-4	DB08219	CCNA2; CDK2
106060-89-3	DB04542	NME1
1061337-51-6	DB12825	rplV
106344-20-1	DB04912	HMOX1; HMOX2
106791-39-3	DB01135	CHRNA2; CHRM2
106941-25-7	DB13868	P
108-46-3	DB11085	TPO
108147-54-2	DB05018	GLA
108153-74-8	DB09532	SCTR
108266-96-2	DB03863	cslA; cslB
108560-70-9	DB05420	RRM1
109319-16-6	DB13133	F8; COL1A1
1095173-27-5	DB11978	SMO
11000-17-2	DB00067	AVPR2; AVPR1A; AVPR1B
110368-35-9	DB02466	RARG
11061-68-0	DB00030	INSR; IGF1R; RB1; CPE
1108208-65-6	DB05374	EGFR
1108743-60-7	DB11986	NTRK1; NTRK2; NTRK3; ROS1; JAK2; TNK2
110942-02-4	DB00041	IL2RB; IL2RA; IL2RG
11096-26-7	DB00016	EPOR
1110766-97-6	DB13125	MPL
111358-88-4	DB06469	FLT3
1117844-87-7	DB13200	CSF3R
112-80-1	DB04224	GLTP; ; PMP2; PPARA; PPARD; RXRA; PPARG
1123889-88-2	DB05146	KDR; KIT; PDGFRA; PDGFRB
1126-48-3	DB01671	CA2
112665-43-7	DB06739	TBXA2R
112727-80-7	DB04917	HTR3A; HTR4
1129435-60-4	DB12119	IL1B
113-53-1	DB09167	HTR1A; HTR2A; HRH1; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5; ADRA2A; ADRA2B; ADRA2C; ADRA1A; ADRA1B; ADRA1D; SLC6A2; SLC6A4
1132935-63-7	DB09183	NS5b
113299-40-4	DB02932	AR
113303-81-4	DB04220	fhuA
1135-24-6	DB07767	xynY; xynZ; ; 
113507-06-5	DB11431	GluClX
1143-38-0	DB11157	KRT2; MAPK8IP1; KRT12
1143503-69-8	DB11569	IL17A
114507-35-6	DB08342	TRAPPC6A; TRAPPC3; TRAPPC6B; TRAPPC5; TRAPPC4; TRAPPC1
1154757-24-0	DB12615	rpsN; rpsK
1159266-37-1	DB12498	CXCR4
116094-23-6	DB01306	INSR; IGF1R
1164-91-6	DB13951	AR; HSD17B1; ESR1; NR3C2
1165910-22-4	DB13934	AR
1174018-99-5	DB12377	bla; bla; ; blaCTX-M-14; blaCTX-M-27; KPC-2; ampC
1174277-80-5	DB09105	S1PR1
1175512-71-6	DB13933	F7; F8; F10
118-55-8	DB11071	PTGS1; PTGS2
118-56-9	DB11064	PGR; AR; ESR1
1182215-65-1	DB05996	GPNMB
118390-30-0	DB00069	IFNAR1; IFNAR2
118457-14-0	DB04861	ADRB1; ADRB2; ADRB3
1187560-31-1	DB13896	; 
118812-69-4	DB05034	NPR1
1189088-41-2	DB05956	RXRA; GRIN2B
1189541-98-7	DB11767	IL6R; FCGR1A; FCGR2A; FCGR2B; FCGR3A; FCGR3B
1190264-60-8	DB12159	IL4R
1190307-88-0	DB08934	NS5b
1192-20-7	DB02624	SLC9A1
1192451-26-5	DB09109	F9; F10; F2
1192500-31-4	DB09060	bla; ; blaCTX-M-14; blaCTX-M-27; ampC; bla; bla; bla; OXA-48; bla; blaUOE-1; per1
119515-38-7	DB14074	OBP-1
119567-79-2	DB06408	PB1; NT5C2; IMPDH1; L; ENPP1
119673-08-4	DB06362	TOP2A; TOP2B
1197953-54-0	DB12267	ALK; EGFR; ABL1; IGF1R; FLT3; INSR; MET; ERBB4; ERBB2
120054-86-6	DB14068	ABCB1
1201-56-5	DB11278	ADRB1; ADRA2A; ADRA1A; ADRA1B; ADRA1D; ADRA2A; ADRA2B; ADRA2C; ADRB1; ADRB2; ADRB3
120313-91-9	DB05777	F2; F5
1207283-85-9	DB12329	rpsD
1207456-01-6	DB11760	PARP1; PARP2
1209-98-9	DB01463	SLC6A3
1211231-76-3	DB14146	OPRM1; OPRD1; OPRK1
1211441-98-3	DB11730	CDK4; CDK6
121181-53-1	DB00099	CSF3R; ELANE
121249-14-7	DB09067	CRHR1
12126-59-9	DB00286	ESR1; ESR2
1216941-48-8	DB09297	NS3/4A
1219013-68-9	DB09108	VWF
1220118-27-3	DB05890	VEGFA
1223403-58-4	DB14723	NTRK1; NTRK2; NTRK3
1225208-94-5	DB14879	pbpB; mrcA; ponB; pbpA; dacB
122547-72-2	DB02859	ACACB
1229022-83-6	DB09029	IL17A
123018-47-3	DB05513	IL6; TNF
1230487-00-9	DB12371	S1PR5; S1PR1
123122-54-3	DB11623	MME
123583-37-9	DB05004	NPY2R; NPY1R; NPY5R; NPY4R
123653-11-2	DB14060	PTGS2
123690-78-8	DB05010	GABBR1; GABBR2
123774-72-1	DB00020	CSF2RA; IL3RA; CSF2RB; SDC2; PRG2
124192-87-6	DB02211	MAOB
12427-33-7	DB01285	MC2R; CRH
124436-59-5	DB08012	; 
124584-08-3	DB04899	NPR1; NPR2; NPR3
1245916-14-6	DB09302	PCSK9
1246264-45-8	DB13140	toxB
124904-93-4	DB06785	GNRHR
125118-55-0	DB04367	TNK2; CLK1
1254032-66-0	DB13931	ROCK1; ROCK2; SLC6A2
1254053-43-4	DB12141	FLT3; HTR1A; HTR1B; HTR1D; HTR1E; HTR1F; HTR2A; HTR2B; HTR2C; HTR3A; HTR3B; HTR3C; HTR3D; HTR3E; HTR4; HTR6; HTR7; AXL; ALK
1256-86-6	DB01990	RORA
125602-71-3	DB04890	HRH1
1258226-87-7	DB09296	NS5A
12584-58-6	DB00071	INSR; IGF1R; IDE; HLA-DQA2; HLA-DQB1; RB1; CTSD; CPE; PCSK2; PCSK1; NOV; LRP2; IGFBP7; SYTL4
1258984-36-9	DB13161	SMN2
1259305-29-7	DB14185	DRD2; HTR1A; HTR2A; HTR1B; HTR1D; HTR1E; DRD1; DRD5; DRD3; DRD4; HTR2C; HTR3A; HTR6; HTR7; HRH1; ADRA1A; ADRA1B; ADRA2A; ADRA2B; ADRA2C; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5
1262449-58-0	DB14562	TFPI
12629-01-5	DB00052	GHR; PRLR
1262984-82-6	DB09266	MRC1
126544-47-6	DB01410	NR3C1
1268714-50-6	DB06322	ENG
1269764-99-9	DB06342	CD19
127-08-2	DB14498	ATP1A1
1270012-79-7	DB11607	VWF
12704-90-4	DB04124	tufB
127243-85-0	DB07995	PRKACA; PKIA; GSG2
127658-43-9	DB02710	LCN2
127757-91-9	DB05386	CSF2RA; CSF2RA
127785-64-2	DB14058	AUR1
128-62-1	DB06174	SIGMAR1
128241-72-5	DB03292	PSPH
128607-22-7	DB04938	ESR1
1286770-55-5	DB12285	BACE1
129-56-6	DB01782	MAPK10; MAPK8IP1; MAPK8; TTK
129029-23-8	DB06229	DRD2; HRH1; ADRA1A; ADRA1B; ADRA2A; ADRA1D; ADRA2B; ADRA2C; HTR2A; HTR2B; HTR2C
129033-04-1	DB04269	PRSS1
129716-58-1	DB14067	ABCB5; ABCB1
1297537-33-7	DB15647	AR
1297538-32-9	DB12941	AR; PGR
129791-92-0	DB04934	rpoB
130-50-7	DB01937	rnaSA
1300-94-3	DB13908	SCN2A
130167-68-9	DB00061	GRB2
13029-44-2	DB00890	ESR1; SHBG
130493-03-7	DB06258	HSF1
130525-62-1	DB03321	NA
130579-75-8	DB12177	HTR2A; HTR2C
13058-04-3	DB07780	FNTA; FNTB; KRAS; ispF; FDPS; ispU; nisZ; GGPS1; ; RABGGTA; RABGGTB
1306760-87-1	DB12612	S1PR1; S1PR5
13074-06-1	DB03815	fucI
1309086-46-1	DB14738	F9; F10; F2
131-53-3	DB11221	SHBG
131-99-7	DB04566	guaB; ADSSL1; hpt; purA; HGPRTase; PYGM; purA; IMPDH2
13103-34-9	DB14639	AR
1310426-33-5	DB15665	TAAR1; HTR1A
1310726-60-3	DB15091	JAK1
13113-71-8	DB07381	mdlA
1313206-42-6	DB12240	CD79B
13184-27-5	DB04252	pyrC
131875-08-6	DB03451	VDR
132173-07-0	DB05792	SIGMAR1
13224-93-6	DB03283	; ACHE
132584-12-4	DB07778	CYC1; MT-CYB; UQCRC1; UQCRC2; UQCRH; UQCRQ; UQCRFS1; UQCR11; UQCRB; UQCR10
1326244-10-3	DB14004	IL12B; IL23A
1327-53-3	DB01169	IKBKB; TXNRD1; JUN; CCND1; MAPK3; MAPK1; AKT1; CDKN1A; HDAC1; PML
13270-65-0	DB01632	HGPRTase; APRT; trpD; HPRT1; pyrE; UCKL1
133107-64-9	DB00046	INSR; IGF1R
13319-32-9	DB04194	LYZ
133410-84-1	DB04653	CAPN1
133652-38-7	DB00015	PLG; FGA; PLAUR; SERPINE1
133737-32-3	DB04903	GABRA2; GABRA3
133804-44-1	DB06231	SLC8A1
1339940-90-7	DB11606	VWF
