annoClassID	annoClassName	firstTermID	lastTermID	numberOfTermIDs
1	ACTIVITY_CLASS	1	84	84
2	ADVERSE_EFFECT	85	2472	2388
3	CTD_CHEM2DISEASE	2473	5137	2665
4	CTD_CHEM2GENE_25	5138	5711	574
5	CTD_GO_BP	5712	10777	5066
6	CTD_PATHWAY	10778	11007	230
7	CTD_SF	11008	18961	7954
8	DRUGBANK_ATC_CODE	18962	19282	321
9	DRUGBANK_TARGETS	19283	20661	1379
10	HTS_ACTIVE	20662	20724	63
11	INDICATION	20725	21703	979
12	KNOWN_TOXICITY	21704	21725	22
13	LEADSCOPE_TOXICITY	21726	21840	115
14	MECH_LEVEL_1	21841	21929	89
15	MECH_LEVEL_2	21930	22076	147
16	MECH_LEVEL_3	22077	22246	170
17	MECHANISM	22247	22314	68
18	MESH	22315	24758	2444
19	MESH_LEVEL_1	24759	24769	11
20	MESH_LEVEL_2	24770	24807	38
21	MESH_LEVEL_3	24808	24957	150
22	MODE_CLASS	24958	24982	25
23	MULTICASE_TOX_PREDICTION	24983	25097	115
24	PHARMACTIONLIST	25098	25565	468
25	PRODUCT_CLASS	25566	25588	23
26	STRUCTURE_ACTIVITY	25589	25885	297
27	TA_LEVEL_1	25886	25919	34
28	TA_LEVEL_2	25920	26063	144
29	TA_LEVEL_3	26064	26252	189
30	THERAPEUTIC_CLASS	26253	26351	99
31	TISSUE_TOXICITY	26352	26549	198
32	TOXCAST	26550	27274	725
33	TOXINS_TARGETS	27275	27868	594
34	TOXPRINT_STRUCTURE	27869	28494	626
35	TOXREFDB	28495	29539	1045
36	ZERO_CLASS	29540	29541	2
