100-02-7	SULT1A1; AMY2B
100-09-4	PLA2G1B; PLA2G2E
100-33-4	TRDMT1
100-46-9	PRSS2; PRSS1
100-87-8	HPN; ; estB; rsbQ; SOD2; CMA1; apr
100-92-5	ADRA1A; ADRA1B; ADRA1D; ADRA2A; ADRA2B; ADRA2C; ADRB1; ADRB2; ADRB3
10016-20-3	
1002304-34-8	MET
10025-73-7	INSR
10036-64-3	lecB; env; IGHG1; ACE; ACHE; GBA; pdaA; SIGLEC7; HN
100427-26-7	CACNG1
10043-52-4	S100A13
100568-03-4	snf
10058-44-3	FTL; HBA1; HBB
100643-71-8	HRH1
10083-24-6	ATP5A1; ATP5B; ATP5C1
100986-85-4	parC; gyrA
100986-86-5	lytA
101-31-5	CHRM1; CHRM2; CHRM3; CHRM4
101-40-6	SLC18A2; TAAR1
10118-90-8	rpsI; rpsD; IL1B; ALOX5; MMP9; VEGFA; CASP1; CASP3; CYCS; MAPK1; MAPK10; MAPK11; MAPK12; MAPK13; MAPK14; MAPK15; MAPK3; MAPK4; MAPK6; MAPK7; MAPK8; MAPK9; NOS2
101246-66-6	ACHE; BCHE; APP
101622-51-9	CDK2; CDK5; CDK1; MAPK1
10182-91-9	PTPN11
101828-21-1	SQLE
101861-63-6	FBP1
101932-71-2	PPP1CC
101975-10-4	PDE4D
102-07-8	
102-32-9	mndD; ; pac; pcaG; pcaH
10206-21-0	mrcA; mrcB
1022150-57-7	MET
10236-58-5	CAMP; NME1; fdhF; sufS
10238-21-8	ABCC8; KCNJ11; ABCC9; ABCB11; ABCA1; KCNJ11; KCNJ8; CPT1A; CFTR; TRPM4
102518-79-6	ACHE
1025967-78-5	ITGAL
10262-69-8	SLC6A2; HRH1; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5; ADRA1A; ADRA1B; ADRA1D; HTR2A; HTR2C; HTR7; DRD2; ADRA2A; ADRA2B; ADRA2C
102625-70-7	ATP4A; DDAH1
102767-28-2	SV2A; CACNA1B
1028486-01-2	AURKA
103-16-2	TYR
103-47-9	P/V; nirS; EN2; rph; ; SULT2B1
103-90-2	PTGES3; PTGS2; PTGS1; TRPV1
1030377-33-3	HCRTR1; HCRTR2
10309-95-2	qacR
103129-82-4	CACNA1C; CACNA1D; NOS3; NOS2
103177-37-3	CYSLTR1; TNF; IL5; RNASE3; NFKB1; MUC2
103222-11-3	SSTR2; SSTR5; TACR1
1032568-63-0	PIK3CA; PIK3CD
10326-41-7	
1032900-25-6	ALK
103548-82-9	ACHE
103577-45-3	ATP4A; MAPT
103628-46-2	HTR1D; HTR1B; HTR1F; HTR1A
103745-39-7	PKIA; PRKACA; ROCK1; ROCK2
103766-25-2	DPYD
103775-10-6	ACE
103782-08-7	chiB; chiA
10380-08-2	PAPOLA
103890-78-4	CACNA1C; CACNA1D; CACNA1F; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4; CACNA1A
1038915-60-4	PARP1; PARP2
104-03-0	pac
104-15-4	LYZ; CTSH
104-31-4	SCN5A
104-57-4	nprS
10417-94-4	PTGS2; PTGS1; PPARG; PPARD; FADS1; ACSL4; ACSL3; FFAR1; SLC8A1; TRPV1; PPARA
10418-03-8	AR
104206-65-7	HPD
104227-87-4	; 
104504-45-2	PTPN1; YARS
104632-26-0	DRD3; DRD2; DRD4; HTR1A; ADRA2A
104809-16-7	DCPS; PAPS; EIF4E
10485-66-2	yopH; ARSA
104987-11-3	FKBP1A
105-20-4	HRH2
105-40-8	stxB
105102-22-5	NR3C1; PGR
1051375-16-6	pol
10540-29-1	ESR1; ESR2; EBP; PRKCA; PRKCB; PRKCD; PRKCE; PRKCG; PRKCI; PRKCQ; PRKCZ; AR; KCNH2; NR1I2; ESRRG; SHBG; MAPK8
105462-24-6	FDPS
105628-72-6	ROCK1; PRKACA; PKIA
105650-23-5	ESR1; NCOA2
1057249-41-8	AURKA; AURKC
105816-04-4	ABCC8; PPARG
10596-23-3	SLC25A4; SLC25A5; SLC25A6
