Category	Term	Count	%	PValue	CASRNs	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
TOXPRINT_STRUCTURE	chain:aromaticAlkane_Ph-C1_acyclic_connect_H_gt_1	5	62.5	0.000555180098950265	100-46-9, 620-20-2, 101-81-5, 103-29-7, 100-44-7	5	1281	8337	6.50819672131148	1	0.0172105830674582	0.000555180098950265
TOXPRINT_STRUCTURE	chain:aromaticAlkane_Ph-C1_acyclic_connect_noDblBd	5	62.5	0.00236661497300697	100-46-9, 620-20-2, 101-81-5, 103-29-7, 100-44-7	5	1840	8337	4.53097826086957	1	0.0709984491902092	0.00236661497300697
MESH	Benzene Derivatives	4	50	0.00239459107045645	100-46-9, 101-81-5, 103-29-7, 100-44-7	4	730	5450	7.46575342465753	1	0.0709984491902092	0.00239459107045645
MESH	Hydrocarbons, Aromatic	4	50	0.0057641175249263	100-46-9, 101-81-5, 103-29-7, 100-44-7	4	978	5450	5.57259713701432	1	0.161395290697936	0.0057641175249263
MULTICASE_TOX_PREDICTION	MRP3 inhibition at 10uM	4	50	0.00798207989856041	100-46-9, 101-81-5, 103-29-7, 100-44-7	4	1606	8032	5.00124533001245	1	0.215516157261131	0.00798207989856041
MESH	Hydrocarbons, Cyclic	4	50	0.00831680377158453	100-46-9, 101-81-5, 103-29-7, 100-44-7	4	1105	5450	4.93212669683258	1	0.216236898061198	0.00831680377158453
LEADSCOPE_TOXICITY	Neurotoxicityy-pup behavior rodent	4	50	0.00882317257212648	100-46-9, 101-81-5, 103-29-7, 100-44-7	4	1539	7444	4.83690708252112	1	0.220579314303162	0.00882317257212648
TOXPRINT_STRUCTURE	ring:aromatic_phenyl	4	50	0.00888384766813593	100-46-9, 101-81-5, 103-29-7, 100-44-7	5	1128	8337	5.91276595744681	1	0.220579314303162	0.00888384766813593
TOXPRINT_STRUCTURE	bond:CX_halide_alkyl-X_benzyl_generic	2	25	0.00908650273758812	620-20-2, 100-44-7	5	19	8337	175.515789473684	1	0.220579314303162	0.00908650273758812
TOXPRINT_STRUCTURE	chain:aromaticAlkane_Ph-C1_acyclic_generic	5	62.5	0.010902878242261	100-46-9, 620-20-2, 101-81-5, 103-29-7, 100-44-7	5	2695	8337	3.09350649350649	1	0.239863321329743	0.010902878242261
TOXPRINT_STRUCTURE	bond:CX_halide_alkyl-X_aromatic_alkane	2	25	0.0119430169291469	620-20-2, 100-44-7	5	25	8337	133.392	1	0.250803355512084	0.0119430169291469
TOXPRINT_STRUCTURE	bond:CX_halide_alkyl-X_aromatic_generic	2	25	0.0119430169291469	620-20-2, 100-44-7	5	25	8337	133.392	1	0.250803355512084	0.0119430169291469
MESH	Benzyl Compounds	2	25	0.0191460838079803	100-46-9, 100-44-7	4	35	5450	77.8571428571428	1	0.363775592351625	0.0191460838079803
MESH	Hydrocarbons	4	50	0.0196336657966301	100-46-9, 101-81-5, 103-29-7, 100-44-7	4	1471	5450	3.70496261046907	1	0.363775592351625	0.0196336657966301
LEADSCOPE_TOXICITY	Neurotoxicityy-pup behavior mouse	3	37.5	0.0272214920906931	100-46-9, 103-29-7, 100-44-7	4	734	7444	7.60626702997275	1	0.462765365541782	0.0272214920906931
TOXPRINT_STRUCTURE	bond:CX_halide_alkyl-X_benzyl_alkane	2	25	0.064139795668046	620-20-2, 100-44-7	5	137	8337	24.3416058394161	1	1	0.064139795668046
TOXPRINT_STRUCTURE	bond:CX_halide_alkyl-X_primary	2	25	0.0996932207190095	620-20-2, 100-44-7	5	216	8337	15.4388888888889	1	1	0.0996932207190095
TOXPRINT_STRUCTURE	bond:CX_halide_alkyl-X_ethyl_generic	2	25	0.0996932207190095	620-20-2, 100-44-7	5	216	8337	15.4388888888889	1	1	0.0996932207190095
TOXPRINT_STRUCTURE	ring:aromatic_benzene	5	62.5	0.133377308758163	100-46-9, 620-20-2, 101-81-5, 103-29-7, 100-44-7	5	4611	8337	1.80806766428107	1	1	0.133377308758163
