Category	Term	Count	%	PValue	CASRNs	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
TOXPRINT_STRUCTURE	bond:CN_amine_ter-N_aromatic_aliphatic	7	70	2.41064890537193e-09	60-11-7, 99-97-8, 99-98-9, 129-73-7, 1122-58-3, 121-69-7, 100-22-1	8	224	8337	32.56640625	1	2.89277868644631e-07	2.41064890537193e-09
TOXPRINT_STRUCTURE	bond:CN_amine_ter-N_aromatic	7	70	1.32156171557928e-08	60-11-7, 99-97-8, 99-98-9, 129-73-7, 1122-58-3, 121-69-7, 100-22-1	8	297	8337	24.5618686868687	1	1.57265844153935e-06	1.32156171557928e-08
LEADSCOPE_TOXICITY	Genetic Toxicity -drosophila HT	8	80	2.29763188939703e-07	60-11-7, 99-97-8, 99-98-9, 129-73-7, 614-00-6, 1122-58-3, 121-69-7, 100-22-1	8	841	7444	8.85136741973841	1	2.71120562948849e-05	2.29763188939703e-07
MESH	Aniline Compounds	6	60	5.24274624835431e-07	60-11-7, 99-97-8, 99-98-9, 129-73-7, 121-69-7, 100-22-1	8	168	5450	24.3303571428571	1	6.13401311057454e-05	5.24274624835431e-07
LEADSCOPE_TOXICITY	Genetic Toxicity -drosophila SLRL	7	70	1.85383624463239e-06	60-11-7, 99-97-8, 99-98-9, 614-00-6, 1122-58-3, 121-69-7, 100-22-1	8	606	7444	10.7483498349835	1	0.000215045004377357	1.85383624463239e-06
MESH	Amines	7	70	6.2486454628369e-06	60-11-7, 99-97-8, 99-98-9, 129-73-7, 1122-58-3, 121-69-7, 100-22-1	8	545	5450	8.75	1	0.000718594228226243	6.2486454628369e-06
TOXPRINT_STRUCTURE	bond:CN_amine_aromatic_generic	7	70	2.42141214071131e-05	60-11-7, 99-97-8, 99-98-9, 129-73-7, 1122-58-3, 121-69-7, 100-22-1	8	1047	8337	6.96740687679083	1	0.00276040984041089	2.42141214071131e-05
MULTICASE_TOX_PREDICTION	MRP1 inhibition at 10uM	8	80	3.17103772801614e-05	60-11-7, 99-97-8, 99-98-9, 129-73-7, 614-00-6, 1122-58-3, 121-69-7, 100-22-1	8	1831	8032	4.38667394866193	1	0.00358327263265824	3.17103772801614e-05
TOXPRINT_STRUCTURE	bond:CN_amine_ter-N_aliphatic	7	70	3.65821886396136e-05	60-11-7, 99-97-8, 99-98-9, 129-73-7, 1122-58-3, 121-69-7, 100-22-1	8	1123	8337	6.49588156723063	1	0.00409720512763672	3.65821886396136e-05
TOXPRINT_STRUCTURE	bond:CN_amine_ter-N_generic	7	70	3.69671225629673e-05	60-11-7, 99-97-8, 99-98-9, 129-73-7, 1122-58-3, 121-69-7, 100-22-1	8	1125	8337	6.48433333333333	1	0.00410335060448937	3.69671225629673e-05
MULTICASE_TOX_PREDICTION	Human oral bioavailability, F > 65% as actives	8	80	0.000181829706884687	60-11-7, 99-97-8, 99-98-9, 129-73-7, 614-00-6, 1122-58-3, 121-69-7, 100-22-1	8	2349	8032	3.41932737335036	1	0.0200012677573156	0.000181829706884687
